! <Zone Information>,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
Zone Information,MULT_CLASS_1_POD_1_ZN_1_FLR_2,0.0,11.00,0.00,4.00,37.50,4.50,6.00,1,1,1,11.00,64.00,0.00,9.00,4.00,8.00,4.00,1908.00,TARP,TARP,477.00,212.00,137.80,74.20,6,1,0,Yes
Zone Information,MULT_CLASS_1_POD_2_ZN_1_FLR_1,0.0,11.00,40.00,0.00,37.50,44.50,2.00,1,1,1,11.00,64.00,40.00,49.00,0.00,4.00,4.00,1908.00,TARP,TARP,477.00,212.00,133.90,74.20,6,5,0,Yes
Zone Information,MULT_CLASS_1_POD_2_ZN_1_FLR_2,0.0,11.00,40.00,4.00,37.50,44.50,6.00,1,1,1,11.00,64.00,40.00,49.00,4.00,8.00,4.00,1908.00,TARP,TARP,477.00,212.00,137.80,74.20,6,1,0,Yes
Zone Information,MULT_CLASS_1_POD_3_ZN_1_FLR_1,0.0,11.00,81.00,0.00,37.50,85.50,2.00,1,1,1,11.00,64.00,81.00,90.00,0.00,4.00,4.00,1908.00,TARP,TARP,477.00,212.00,133.90,74.20,6,5,0,Yes
Zone Information,MULT_CLASS_1_POD_3_ZN_1_FLR_2,0.0,11.00,81.00,4.00,37.50,85.50,6.00,1,1,1,11.00,64.00,81.00,90.00,4.00,8.00,4.00,1908.00,TARP,TARP,477.00,212.00,137.80,74.20,6,1,0,Yes
Zone Information,MULT_CLASS_2_POD_1_ZN_1_FLR_1,0.0,11.00,14.00,0.00,37.50,18.50,2.00,1,1,1,11.00,64.00,14.00,23.00,0.00,4.00,4.00,1908.00,TARP,TARP,477.00,212.00,133.90,74.20,6,5,0,Yes
Zone Information,MULT_CLASS_2_POD_1_ZN_1_FLR_2,0.0,11.00,14.00,4.00,37.50,18.50,6.00,1,1,1,11.00,64.00,14.00,23.00,4.00,8.00,4.00,1908.00,TARP,TARP,477.00,212.00,137.80,74.20,6,1,0,Yes
Zone Information,MULT_CLASS_2_POD_2_ZN_1_FLR_1,0.0,11.00,54.00,0.00,37.50,58.50,2.00,1,1,1,11.00,64.00,54.00,63.00,0.00,4.00,4.00,1908.00,TARP,TARP,477.00,212.00,133.90,74.20,6,5,0,Yes
Zone Information,MULT_CLASS_2_POD_2_ZN_1_FLR_2,0.0,11.00,54.00,4.00,37.50,58.50,6.00,1,1,1,11.00,64.00,54.00,63.00,4.00,8.00,4.00,1908.00,TARP,TARP,477.00,212.00,137.80,74.20,6,1,0,Yes
Zone Information,MULT_CLASS_2_POD_3_ZN_1_FLR_1,0.0,11.00,95.00,0.00,37.50,99.50,2.00,1,1,1,11.00,64.00,95.00,104.00,0.00,4.00,4.00,1908.00,TARP,TARP,477.00,212.00,133.90,74.19,6,5,0,Yes
Zone Information,MULT_CLASS_2_POD_3_ZN_1_FLR_2,0.0,11.00,95.00,4.00,37.50,99.50,6.00,1,1,1,11.00,64.00,95.00,104.00,4.00,8.00,4.00,1908.00,TARP,TARP,477.00,212.00,137.80,74.20,6,1,0,Yes
Zone Information,OFFICES_ZN_1_FLR_1,0.0,79.00,0.00,0.00,98.00,7.00,2.00,1,1,1,79.00,117.00,0.00,14.00,0.00,4.00,4.00,2128.00,TARP,TARP,532.00,208.00,131.30,72.80,6,6,0,Yes
Zone Information,OFFICES_ZN_1_FLR_2,0.0,79.00,0.00,4.00,98.00,7.00,6.00,1,1,1,79.00,117.00,0.00,14.00,4.00,8.00,4.00,2128.00,TARP,TARP,532.00,208.00,135.20,72.80,6,2,0,Yes
